acc_id,acc_fk_pharma,acc_year,acc_fk_transaction_category,acc_value,acc_type
278,35,2017,7,3436188.36,rnd
279,36,2017,7,118000.0,rnd
280,37,2017,7,0.0,rnd
281,39,2017,7,0.0,rnd
282,38,2017,7,8141826.61,rnd
283,40,2017,7,424528.0,rnd
284,41,2017,7,0.0,rnd
285,42,2017,7,28362.67,rnd
286,43,2017,7,2506402.0,rnd
287,44,2017,7,0.0,rnd
288,45,2017,7,9026015.28,rnd
289,46,2017,7,7042.45,rnd
290,47,2017,7,524006.59,rnd
291,48,2017,7,15615.0,rnd
292,49,2017,7,0.0,rnd
293,50,2017,7,42135.13,rnd
294,51,2017,7,0.0,rnd
295,52,2017,7,409063.85,rnd
296,53,2017,7,0.0,rnd
297,54,2017,7,814225.39,rnd
298,55,2017,7,435959.71,rnd
299,56,2017,7,0.0,rnd
