source,target,r_name,r_address,r_location,r_ratio
1053.0,8851.0,100.0,100.0,100.0,
8852.0,2784.0,100.0,100.0,100.0,
8852.0,6125.0,100.0,100.0,100.0,
2784.0,8852.0,100.0,100.0,100.0,
2784.0,6125.0,100.0,100.0,100.0,
6125.0,8852.0,100.0,100.0,100.0,
6125.0,2784.0,100.0,100.0,100.0,
2785.0,7000.0,100.0,100.0,100.0,
7000.0,2785.0,100.0,100.0,100.0,
959.0,3009.0,100.0,100.0,100.0,
3009.0,959.0,100.0,100.0,100.0,
1222.0,5073.0,100.0,100.0,100.0,
5073.0,1222.0,100.0,100.0,100.0,
6941.0,2084.0,100.0,100.0,100.0,
2084.0,6941.0,100.0,100.0,100.0,
9322.0,6948.0,100.0,65.0,100.0,
6948.0,9322.0,100.0,65.0,100.0,
8856.0,6121.0,100.0,100.0,100.0,
6121.0,8856.0,100.0,100.0,100.0,
10577.0,9532.0,100.0,100.0,100.0,
9532.0,10577.0,100.0,100.0,100.0,
1305.0,1012.0,100.0,100.0,100.0,
1305.0,8863.0,100.0,100.0,100.0,
1012.0,1305.0,100.0,100.0,100.0,
1012.0,8863.0,100.0,100.0,100.0,
8863.0,1305.0,100.0,100.0,100.0,
8863.0,1012.0,100.0,100.0,100.0,
3947.0,4354.0,100.0,100.0,100.0,
4354.0,3947.0,100.0,100.0,100.0,
5526.0,5888.0,100.0,95.0,100.0,
5888.0,5526.0,100.0,95.0,100.0,
10049.0,3407.0,100.0,100.0,100.0,
3407.0,10049.0,100.0,100.0,100.0,
7675.0,5508.0,100.0,94.0,100.0,
5508.0,7675.0,100.0,94.0,100.0,
8299.0,5611.0,100.0,95.0,100.0,
5611.0,8299.0,100.0,95.0,100.0,
10496.0,3008.0,100.0,100.0,100.0,
3008.0,10496.0,100.0,100.0,100.0,
5024.0,10410.0,100.0,100.0,100.0,
10410.0,5024.0,100.0,100.0,100.0,
7218.0,10478.0,95.0,100.0,100.0,
10478.0,7218.0,95.0,100.0,100.0,
4373.0,6719.0,100.0,100.0,100.0,
6719.0,4373.0,100.0,100.0,100.0,
4993.0,2159.0,100.0,100.0,100.0,
2159.0,4993.0,100.0,100.0,100.0,
2295.0,9354.0,100.0,100.0,100.0,
2295.0,7089.0,100.0,100.0,100.0,
9354.0,2295.0,100.0,100.0,100.0,
9354.0,7089.0,100.0,100.0,100.0,
7089.0,2295.0,100.0,100.0,100.0,
7089.0,9354.0,100.0,100.0,100.0,
5537.0,10215.0,100.0,100.0,100.0,
10215.0,5537.0,100.0,100.0,100.0,
1332.0,6678.0,100.0,70.0,100.0,
6678.0,1332.0,100.0,70.0,100.0,
4114.0,2619.0,100.0,100.0,100.0,
2619.0,4114.0,100.0,100.0,100.0,
8230.0,6277.0,100.0,100.0,100.0,
6277.0,8230.0,100.0,100.0,100.0,
4569.0,10594.0,100.0,100.0,100.0,
10594.0,4569.0,100.0,100.0,100.0,
5079.0,10636.0,100.0,100.0,100.0,
10636.0,5079.0,100.0,100.0,100.0,
8304.0,2988.0,100.0,100.0,100.0,
2988.0,8304.0,100.0,100.0,100.0,
7002.0,5540.0,100.0,100.0,100.0,
5540.0,7002.0,100.0,100.0,100.0,
10295.0,3434.0,100.0,100.0,100.0,
3434.0,10295.0,100.0,100.0,100.0,
905.0,1334.0,100.0,100.0,100.0,
1334.0,905.0,100.0,100.0,100.0,
2080.0,9552.0,100.0,100.0,100.0,
9552.0,2080.0,100.0,100.0,100.0,
687.0,7409.0,100.0,95.0,100.0,
7409.0,687.0,100.0,95.0,100.0,
2678.0,9965.0,100.0,50.0,100.0,
9965.0,2678.0,100.0,50.0,100.0,
1337.0,8902.0,100.0,100.0,100.0,
1337.0,2248.0,100.0,100.0,100.0,
8902.0,1337.0,100.0,100.0,100.0,
8902.0,2248.0,100.0,100.0,100.0,
2248.0,1337.0,100.0,100.0,100.0,
2248.0,8902.0,100.0,100.0,100.0,
8688.0,2163.0,100.0,84.0,100.0,
2163.0,8688.0,100.0,84.0,100.0,
802.0,10052.0,100.0,100.0,100.0,
802.0,8905.0,100.0,100.0,100.0,
10052.0,802.0,100.0,100.0,100.0,
