source,target,r_name,r_address,r_location,r_ratio
8857.0,8070.0,100.0,90.0,100.0,
8857.0,6936.0,100.0,100.0,100.0,
8857.0,4347.0,100.0,90.0,100.0,
8857.0,4889.0,100.0,90.0,100.0,
8857.0,311.0,100.0,90.0,100.0,
8857.0,2709.0,100.0,100.0,100.0,
8857.0,5063.0,100.0,90.0,100.0,
8857.0,673.0,100.0,100.0,100.0,
8857.0,5162.0,100.0,90.0,100.0,
8857.0,4563.0,100.0,90.0,100.0,
8857.0,487.0,100.0,100.0,100.0,
8857.0,5595.0,100.0,90.0,100.0,
7074.0,5416.0,100.0,37.0,100.0,
7074.0,1212.0,100.0,38.0,100.0,
7074.0,8275.0,100.0,37.0,100.0,
7074.0,3287.0,100.0,42.0,100.0,
7074.0,6381.0,100.0,36.0,100.0,
7074.0,4296.0,100.0,42.0,100.0,
7074.0,3634.0,100.0,56.0,100.0,
7074.0,8070.0,100.0,42.0,100.0,
7074.0,6936.0,100.0,37.0,100.0,
7074.0,4347.0,100.0,42.0,100.0,
7074.0,4889.0,100.0,42.0,100.0,
7074.0,311.0,100.0,42.0,100.0,
7074.0,2709.0,100.0,37.0,100.0,
7074.0,5063.0,100.0,42.0,100.0,
7074.0,673.0,100.0,37.0,100.0,
7074.0,5162.0,100.0,42.0,100.0,
7074.0,4563.0,100.0,42.0,100.0,
7074.0,487.0,100.0,37.0,100.0,
8858.0,5416.0,100.0,90.0,100.0,
8858.0,1212.0,100.0,100.0,100.0,
8858.0,8275.0,100.0,90.0,100.0,
8858.0,3287.0,100.0,100.0,100.0,
8858.0,6381.0,100.0,90.0,100.0,
8858.0,4296.0,100.0,100.0,100.0,
8858.0,3634.0,100.0,69.0,100.0,
8858.0,8070.0,100.0,100.0,100.0,
8858.0,6936.0,100.0,90.0,100.0,
8858.0,4347.0,100.0,100.0,100.0,
8858.0,4889.0,100.0,100.0,100.0,
8858.0,311.0,100.0,100.0,100.0,
8858.0,2709.0,100.0,90.0,100.0,
8858.0,5063.0,100.0,100.0,100.0,
8858.0,673.0,100.0,90.0,100.0,
8858.0,5162.0,100.0,100.0,100.0,
8858.0,4563.0,100.0,100.0,100.0,
8858.0,487.0,100.0,90.0,100.0,
8863.0,5416.0,100.0,90.0,100.0,
8863.0,1212.0,100.0,100.0,100.0,
8863.0,8275.0,100.0,90.0,100.0,
8863.0,3287.0,100.0,100.0,100.0,
8863.0,6381.0,100.0,90.0,100.0,
8863.0,4296.0,100.0,100.0,100.0,
8863.0,3634.0,100.0,69.0,100.0,
8863.0,8070.0,100.0,100.0,100.0,
8863.0,6936.0,100.0,90.0,100.0,
8863.0,4347.0,100.0,100.0,100.0,
8863.0,4889.0,100.0,100.0,100.0,
8863.0,311.0,100.0,100.0,100.0,
8863.0,2709.0,100.0,90.0,100.0,
8863.0,5063.0,100.0,100.0,100.0,
8863.0,673.0,100.0,90.0,100.0,
8863.0,5162.0,100.0,100.0,100.0,
8863.0,4563.0,100.0,100.0,100.0,
8863.0,487.0,100.0,90.0,100.0,
8859.0,5416.0,100.0,56.0,100.0,
8859.0,1212.0,100.0,54.0,100.0,
8859.0,8275.0,100.0,56.0,100.0,
8859.0,3287.0,100.0,69.0,100.0,
8859.0,6381.0,100.0,48.0,100.0,
8859.0,4296.0,100.0,69.0,100.0,
8859.0,3634.0,100.0,48.0,100.0,
8859.0,8070.0,100.0,69.0,100.0,
8859.0,6936.0,100.0,56.0,100.0,
8859.0,4347.0,100.0,69.0,100.0,
8859.0,4889.0,100.0,69.0,100.0,
8859.0,311.0,100.0,69.0,100.0,
8859.0,2709.0,100.0,56.0,100.0,
8859.0,5063.0,100.0,69.0,100.0,
8859.0,673.0,100.0,56.0,100.0,
8859.0,5162.0,100.0,69.0,100.0,
8859.0,4563.0,100.0,69.0,100.0,
8859.0,487.0,100.0,56.0,100.0,
8860.0,5416.0,100.0,90.0,100.0,
8860.0,1212.0,100.0,100.0,100.0,
8860.0,8275.0,100.0,90.0,100.0,
8860.0,3287.0,100.0,100.0,100.0,
8860.0,6381.0,100.0,90.0,100.0,
8860.0,4296.0,100.0,100.0,100.0,
8860.0,3634.0,100.0,69.0,100.0,
8860.0,8070.0,100.0,100.0,100.0,
8860.0,6936.0,100.0,90.0,100.0,
8860.0,4347.0,100.0,100.0,100.0,
8860.0,4889.0,100.0,100.0,100.0,
8860.0,311.0,100.0,100.0,100.0,
8860.0,2709.0,100.0,90.0,100.0,
8860.0,5063.0,100.0,100.0,100.0,
8860.0,673.0,100.0,90.0,100.0,
8860.0,5162.0,100.0,100.0,100.0,
8860.0,4563.0,100.0,100.0,100.0,
8860.0,487.0,100.0,90.0,100.0,
