node,child
2821,4066
2821,1839
2821,1197
2821,1419
2821,1544
2821,2522
2821,429
2821,3448
2821,2523
2821,1238
2821,3055
2821,763
2821,12
2821,3218
2821,1710
2821,2150
2821,4003
2821,3658
1238,282
1238,4066
1238,1839
1238,1197
1238,1419
1238,1544
1238,2522
1238,429
1238,3448
1238,2523
1238,2821
1238,3055
1238,763
1238,12
1238,3218
1238,1710
1238,2150
1238,4003
1238,3658
3055,282
3055,4066
3055,1839
3055,1197
3055,1419
3055,1544
3055,2522
3055,429
3055,3448
3055,2523
3055,2821
3055,1238
3055,763
3055,12
3055,3218
3055,1710
3055,2150
3055,4003
3055,3658
763,282
763,4066
763,1839
763,1197
763,1419
763,1544
763,2522
763,429
763,3448
763,2523
763,2821
763,1238
763,3055
763,12
763,3218
763,1710
763,2150
763,4003
763,3658
12,282
12,4066
12,1839
12,1197
12,1419
12,1544
12,2522
12,429
12,3448
12,2523
12,2821
12,1238
12,3055
12,763
12,3218
12,1710
12,2150
12,4003
12,3658
3218,282
3218,4066
3218,1839
3218,1197
3218,1419
3218,1544
3218,2522
3218,429
3218,3448
3218,2523
3218,2821
3218,1238
3218,3055
3218,763
3218,12
3218,1710
3218,2150
3218,4003
3218,3658
1710,282
1710,4066
1710,1839
1710,1197
1710,1419
1710,1544
1710,2522
1710,429
1710,3448
1710,2523
1710,2821
1710,1238
1710,3055
1710,763
1710,12
1710,3218
1710,2150
1710,4003
1710,3658
2150,282
2150,4066
2150,1839
2150,1197
2150,1544
2150,2522
2150,429
2150,3448
2150,2523
2150,2821
2150,1238
2150,3055
2150,763
2150,12
2150,3218
2150,1710
2150,3658
4003,282
4003,4066
4003,1839
4003,1197
4003,1544
4003,2522
4003,429
4003,3448
4003,2523
4003,2821
4003,1238
4003,3055
4003,763
4003,12
4003,3218
4003,1710
4003,3658
3658,282
3658,4066
3658,1839
3658,1197
3658,1419
3658,1544
3658,2522
3658,429
3658,3448
3658,2523
3658,2821
3658,1238
3658,3055
3658,763
3658,12
3658,3218
3658,1710
3658,2150
3658,4003
764,2822
2823,3822
2823,1302
3822,1302
1302,2823
1895,283
284,2573
1545,1763
1545,1955
14,3220
3220,526
3568,15
3568,3450
3568,2824
285,15
285,2824
15,3450
15,2824
3450,3568
3450,2824
2824,3568
2824,285
2824,15
2824,3450
3569,3056
2375,2826
2375,2524
2826,2524
2524,2375
1546,3056
1221,1711
1840,1174
1840,430
1840,3823
1840,704
1840,2115
1840,4067
1840,1586
1840,1547
1840,1241
1840,1636
1840,951
1840,2007
1840,1898
1840,3144
1840,159
1840,197
1840,240
1840,3394
1840,2325
1840,2413
1840,4121
1840,3817
1840,4125
1840,4126
1840,4127
1840,4122
1840,4123
1840,4124
1840,4128
