node,child
1514,5261
2448,5261
5261,1514
301,1976
301,2497
301,4086
1976,2497
1976,4086
2497,301
2497,1976
4086,301
2970,4882
2970,4435
4882,4435
4435,2970
3056,3819
309,1668
1756,3428
1756,4292
1756,5244
3428,4292
3428,5244
4292,1756
4292,5244
5244,1756
5244,3428
5244,4292
6055,4016
6055,1767
4016,6055
4016,1767
3491,3543
3491,3510
3543,3510
3510,3491
179,5698
2576,231
3848,2754
3848,1813
3848,1344
3233,3015
2276,1980
2276,2744
2276,1659
1980,2744
1980,1659
2744,2276
2744,1659
1659,2276
1659,1980
1659,2744
4888,3812
4888,917
3812,917
917,4888
2966,4431
5257,4889
5257,2138
4889,2213
4889,2138
2138,2213
2138,5257
3674,1604
3674,2238
3674,5129
3674,2414
3674,4121
3825,1982
3825,1677
1982,1677
1677,3825
1983,4232
1983,1365
4232,1365
1365,1983
153,5187
1984,2316
1254,2421
1254,547
1254,4512
2421,547
2421,4512
547,1254
547,4512
4512,1254
4512,2421
4512,547
538,4135
3984,4695
3984,3155
3755,5595
5664,4943
5664,1872
5664,4489
3133,217
5100,2864
1185,8
5117,5738
5117,3633
5738,3633
3633,5117
3837,2547
5912,2291
5912,3840
2291,5912
257,734
5238,3988
3628,5736
1593,4449
1611,4132
1611,2246
4132,2246
2246,1611
4891,3304
4891,3794
3304,3794
3794,4891
920,4093
1850,4892
1850,4434
1850,1988
4892,4434
4892,1988
4434,1850
4434,1988
1988,1850
1988,4892
1988,4434
4492,1893
4492,4893
4492,3690
1893,4893
1893,3690
4893,4492
4893,3690
3690,4492
3690,1893
3690,4893
2322,2779
2322,2578
2779,2578
2578,2322
3466,2607
3466,3445
3466,300
2607,3466
2607,3445
2607,300
3445,300
300,3466
300,2607
1989,2296
1989,148
1989,2813
1989,2753
2296,148
2296,2813
2296,2753
148,1989
148,2813
148,2753
2813,1989
2813,2296
2813,148
2813,2753
2753,1989
2753,2296
2753,148
2753,2813
2599,753
2599,5504
5504,2599
5930,156
20,4436
823,5303
823,2776
5303,2776
2776,823
2776,5222
5222,2776
4894,4682
2423,4158
1683,2620
2867,2785
2867,5112
2867,4402
2785,5112
2785,4402
5112,2867
5112,4402
4402,2867
4402,2785
4402,5112
314,3990
314,3425
4897,1665
3990,3425
3425,314
1727,4898
1991,474
557,2422
3766,5550
366,4899
366,5158
366,5550
4899,5158
4899,5550
5158,366
5158,5550
5550,366
5550,4899
6117,3081
2167,5310
2214,638
2214,5190
2214,1799
2214,2302
2214,5007
2214,996
4901,2800
4901,922
2800,922
2800,763
922,4901
763,2800
2239,4123
353,1211
5471,75
4553,3036
1689,3395
1689,4213
3395,4213
4213,1689
2590,264
5202,910
5202,4879
5202,662
5202,1972
3808,2868
3808,2869
3808,5308
2868,2869
2868,5308
2869,3808
2869,5308
5308,3808
5308,2868
5308,2869
528,4485
528,5663
4485,5663
5663,528
4638,1901
5096,3705
4902,5535
545,3364
6,1992
1887,5462
3219,3356
925,5779
925,4903
5779,3608
5779,4903
4903,925
4903,5779
1993,1403
4764,2670
3865,1359
631,1994
3410,196
3410,2563
196,2563
2563,3410
843,4770
843,4904
843,5313
4770,4904
4770,5313
4904,843
4904,5313
5313,843
5313,4770
5313,4904
5159,4180
708,4681
4700,2400
6037,252
252,5714
3102,5104
4907,3768
4907,5680
4907,4554
3768,4907
3768,5680
3768,4554
5680,4554
4554,4907
4554,3768
4908,4635
4082,5573
3030,1995
3030,578
3030,4546
1995,578
1995,4546
578,3030
578,4546
4546,3030
4546,1995
638,5190
5190,2214
1803,1423
4905,4727
2486,214
4050,834
4050,2797
834,4050
834,2797
2730,4516
4579,3059
2621,3002
3656,2977
1306,5629
3285,1233
5670,63
3874,4233
5514,5521
4380,5316
167,4909
167,5695
4909,5695
5695,167
3697,5317
5206,3908
5206,669
5206,5969
3908,5206
3908,5969
669,5969
5969,5206
3171,1480
929,4911
929,1998
4911,929
4911,1998
751,1998
1999,3744
221,3944
6006,1859
6006,2777
6006,4912
6006,229
6006,2001
6006,4673
6006,5708
1859,2777
1859,3417
1859,4912
1859,229
1859,2001
1859,4673
1859,5708
2777,6006
2777,3417
2777,4912
2777,229
2777,2001
2777,4673
2777,5708
3417,1859
3417,2777
3417,4912
3417,229
3417,2001
3417,4673
3417,5708
4912,6006
4912,1859
4912,2777
4912,3417
4912,229
4912,2001
4912,4673
4912,5708
229,6006
229,1859
229,2777
229,3417
229,4912
229,2001
229,4673
229,5708
2001,6006
2001,1859
2001,2777
2001,3417
2001,4912
2001,229
2001,4673
2001,5708
4673,6006
4673,1859
4673,2777
4673,3417
4673,4912
4673,229
4673,2001
4673,5708
5708,6006
5708,1859
5708,2777
5708,3417
5708,4912
5708,229
5708,2001
5708,4673
5838,5152
5838,4164
5838,3382
5838,1641
2262,4164
2262,1641
5152,4164
5152,3382
5152,1641
4164,5838
4164,3382
4164,1641
3382,5838
3382,5152
3382,1641
1641,5838
1641,2262
1641,5152
1641,4164
1641,3382
5734,452
1615,4913
1615,933
1615,1817
4913,933
4913,1817
933,1615
933,4913
933,1817
1817,1615
1817,933
3034,4552
2002,4468
5526,22
3888,1389
935,1409
4003,6123
4003,6044
6123,6044
6044,4003
5406,2877
4915,4768
2801,6082
3093,1372
3256,3265
1621,3367
1621,4916
3367,4916
4916,1621
1246,3706
3786,2952
3786,2814
2952,2814
2814,3786
4917,4411
4917,3613
4917,2005
4411,3613
4411,2005
3613,4917
3613,2005
2005,4917
2005,4411
2006,1189
2006,4918
1189,4918
4918,2006
4919,2007
4919,653
4919,2068
2007,653
2007,2068
653,4919
653,2068
3797,2281
3797,4568
3797,2008
3797,2748
105,801
5171,1556
1556,380
461,3792
461,1317
461,3048
3792,1317
1317,461
1317,3048
4922,2010
2528,64
